anime_id,episodes,members,rating,label
22297,12,267484,8.42,0
627,26,41061,8.42,0
23755,24,331627,8.42,0
4081,13,210736,8.42,0
1889,24,218101,8.41,0
558,26,30689,8.41,0
5040,25,83056,8.41,0
57,26,148328,8.4,0
33,25,226430,8.4,0
1842,26,29528,8.4,0
1210,24,291228,8.4,0
338,40,32188,8.4,0
13759,24,380375,8.4,0
6547,13,717796,8.39,0
5081,15,482268,8.39,0
32867,12,83641,8.39,0
853,26,422271,8.39,0
6746,24,556431,8.38,0
5690,11,67697,8.38,0
329,26,105044,8.38,0
1142,12,61493,8.37,0
6811,26,99128,8.37,0
1604,203,258103,8.37,0
22145,10,122895,8.37,0
2966,13,334932,8.37,0
31964,13,282002,8.36,0
19363,11,67032,8.36,0
18195,13,71820,8.36,0
9863,77,101027,8.36,0
7674,25,246899,8.35,0
11843,12,258914,8.35,0
3226,26,28002,8.35,0
3091,13,74941,8.34,0
28223,12,383914,8.33,0
121,51,600384,8.33,0
3002,26,98996,8.33,0
10800,25,158561,8.32,0
813,291,375662,8.32,0
16067,26,224947,8.32,0
30,26,461946,8.32,0
6,26,283069,8.32,0
11123,12,69253,8.31,0
23847,13,222994,8.31,0
962,26,39596,8.3,0
1519,12,203233,8.3,0
2167,23,566690,8.3,0
16706,12,142612,8.3,0
10271,26,55566,8.29,0
22507,4,19702,8.29,2
3701,12,56927,8.29,0
33255,120,47092,8.29,0
25681,12,91796,8.28,0
4722,25,134818,8.28,0
24277,24,50778,8.28,0
239,24,103828,8.27,0
4477,11,70822,8.27,0
31174,25,60988,8.27,0
23327,13,60918,8.27,0
7054,26,391628,8.26,0
23283,11,342893,8.26,0
2025,25,440334,8.25,0
18689,75,81384,8.25,0
22043,102,255076,8.25,0
31988,13,47716,8.25,0
20899,24,120089,8.25,0
1453,96,22079,8.25,2
23623,12,64230,8.26,0
1559,50,129112,8.25,0
23289,12,292622,8.24,0
18,24,41584,8.24,0
4814,12,87617,8.24,0
12031,38,54211,8.24,0
8129,11,108053,8.24,0
14513,25,317513,8.24,0
2581,25,120351,8.24,0
30015,13,202249,8.24,0
1827,26,106888,8.24,0
25013,24,216674,8.23,0
27833,12,115295,8.23,0
1974,51,17038,8.23,2
8425,24,232113,8.23,0
185,26,68128,8.23,0
18679,24,508118,8.23,0
2034,24,235003,8.23,0
721,38,73218,8.23,0
2402,79,15442,8.22,2
6702,175,584590,8.22,0
31741,13,73480,8.22,0
440,39,77464,8.22,0
72,12,171086,8.21,0
3927,25,86972,8.21,0
11597,11,260062,8.21,0
28025,4,111009,8.21,0
24833,22,312654,8.2,0
27663,25,36251,8.2,0
1482,103,334399,8.2,0
33051,25,21210,8.2,2
7720,13,22190,8.2,2
1914,39,23160,8.2,2
2164,26,76860,8.19,0
237,50,239570,8.19,0
135,75,69000,8.19,0
6045,25,309339,8.19,0
6211,11,121349,8.19,0
232,70,181249,8.18,0
4789,12,103657,8.18,0
16918,11,116261,8.18,0
16,24,130646,8.18,0
1486,102,27893,8.18,2
